ID	Batiment	Momentjour	Face	Emplacement	Bait	Age_building	Date	Tunder_mean	Tground_mean	xcoord	ycoord
S10afternoonSB2miel	S10	afternoon	S	B2	miel	45	3	28.6	28.6	729554.0956	5831988.778
S10afternoonSB2thon	S10	afternoon	S	B2	thon	45	3	28.6	28.6	729554.0956	5831988.778
S10afternoonSB3miel	S10	afternoon	S	B3	miel	45	3	28.6	28.6	729548.8553	5831988.601
S10afternoonSB3thon	S10	afternoon	S	B3	thon	45	3	28.6	28.6	729548.8553	5831988.601
S10afternoonSB4miel	S10	afternoon	S	B4	miel	45	3	28.6	28.6	729543.4972	5831988.66
S10afternoonSB4thon	S10	afternoon	S	B4	thon	45	3	28.6	28.6	729543.4972	5831988.66
S10afternoonSB5miel	S10	afternoon	S	B5	miel	45	3	28.6	28.6	729538.1979	5831988.837
S10afternoonSB5thon	S10	afternoon	S	B5	thon	45	3	28.6	28.6	729538.1979	5831988.837
S10afternoonWA1miel	S10	afternoon	W	A1	miel	45	3	22.6	23.5	729533.6393	5832004.564
S10afternoonWA1thon	S10	afternoon	W	A1	thon	45	3	22.6	23.5	729533.6393	5832004.564
S10afternoonWA2miel	S10	afternoon	W	A2	miel	45	3	22.6	23.5	729533.2272	5832010.393
S10afternoonWA2thon	S10	afternoon	W	A2	thon	45	3	22.6	23.5	729533.2272	5832010.393
S10afternoonWA3miel	S10	afternoon	W	A3	miel	45	3	22.6	23.5	729533.2272	5832016.222
S10afternoonWA3thon	S10	afternoon	W	A3	thon	45	3	22.6	23.5	729533.2272	5832016.222
S10afternoonWA4miel	S10	afternoon	W	A4	miel	45	3	22.6	23.5	729533.2272	5832021.521
S10afternoonWA4thon	S10	afternoon	W	A4	thon	45	3	22.6	23.5	729533.2272	5832021.521
S10afternoonWA5miel	S10	afternoon	W	A5	miel	45	3	22.6	23.5	729533.1683	5832027.174
S10afternoonWA5thon	S10	afternoon	W	A5	thon	45	3	22.6	23.5	729533.1683	5832027.174
S10afternoonWB1miel	S10	afternoon	W	B1	miel	45	3	22.6	23.5	729527.6924	5832004.505
S10afternoonWB1thon	S10	afternoon	W	B1	thon	45	3	22.6	23.5	729527.6924	5832004.505
S10afternoonWB2miel	S10	afternoon	W	B2	miel	45	3	22.6	23.5	729527.5158	5832010.57
S10afternoonWB2thon	S10	afternoon	W	B2	thon	45	3	22.6	23.5	729527.5158	5832010.57
S10afternoonWB3miel	S10	afternoon	W	B3	miel	45	3	22.6	23.5	729527.1625	5832016.163
S10afternoonWB3thon	S10	afternoon	W	B3	thon	45	3	22.6	23.5	729527.1625	5832016.163
S10afternoonWB4miel	S10	afternoon	W	B4	miel	45	3	22.6	23.5	729527.4569	5832021.345
S10afternoonWB4thon	S10	afternoon	W	B4	thon	45	3	22.6	23.5	729527.4569	5832021.345
S10afternoonWB5miel	S10	afternoon	W	B5	miel	45	3	22.6	23.5	729527.4569	5832027.115
S10afternoonWB5thon	S10	afternoon	W	B5	thon	45	3	22.6	23.5	729527.4569	5832027.115
