ID	zone	building	time	Bface	position	baitType	empty	tap_mag	tap_err	las_nig	las_ema	myr_spe	myr_sab	myr_sch	myr_gra	tet_sp	sol_fug	for_cun	for_ruf	for_fus	pla_pyg	tem_sp
S1morningSA3miel	invaded	S1	morning	S	A3	miel	no	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSA3thon	invaded	S1	morning	S	A3	thon	no	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSA4miel	invaded	S1	morning	S	A4	miel	no	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSA4thon	invaded	S1	morning	S	A4	thon	no	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSA5miel	invaded	S1	morning	S	A5	miel	no	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSA5thon	invaded	S1	morning	S	A5	thon	no	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB1miel	invaded	S1	morning	S	B1	miel	no	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB1thon	invaded	S1	morning	S	B1	thon	no	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB2miel	invaded	S1	morning	S	B2	miel	no	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB2thon	invaded	S1	morning	S	B2	thon	no	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB3miel	invaded	S1	morning	S	B3	miel	no	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB3thon	invaded	S1	morning	S	B3	thon	no	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB4miel	invaded	S1	morning	S	B4	miel	no	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB4thon	invaded	S1	morning	S	B4	thon	no	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB5miel	invaded	S1	morning	S	B5	miel	no	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB5thon	invaded	S1	morning	S	B5	thon	no	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWA1miel	invaded	S1	morning	W	A1	miel	no	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWA1thon	invaded	S1	morning	W	A1	thon	no	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
S1morningWA2miel	invaded	S1	morning	W	A2	miel	no	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWA2thon	invaded	S1	morning	W	A2	thon	no	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWA3miel	invaded	S1	morning	W	A3	miel	no	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWA3thon	invaded	S1	morning	W	A3	thon	no	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWA4miel	invaded	S1	morning	W	A4	miel	no	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWA4thon	invaded	S1	morning	W	A4	thon	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWA5miel	invaded	S1	morning	W	A5	miel	no	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWA5thon	invaded	S1	morning	W	A5	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWB1miel	invaded	S1	morning	W	B1	miel	no	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWB1thon	invaded	S1	morning	W	B1	thon	no	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWB2miel	invaded	S1	morning	W	B2	miel	no	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWB2thon	invaded	S1	morning	W	B2	thon	no	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWB3miel	invaded	S1	morning	W	B3	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWB3thon	invaded	S1	morning	W	B3	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWB4miel	invaded	S1	morning	W	B4	miel	no	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
S1morningWB4thon	invaded	S1	morning	W	B4	thon	no	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
S1morningWB5miel	invaded	S1	morning	W	B5	miel	no	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
S1morningWB5thon	invaded	S1	morning	W	B5	thon	no	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
S1noonNA1miel	invaded	S1	noon	N	A1	miel	no	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonNA1thon	invaded	S1	noon	N	A1	thon	no	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonNA2miel	invaded	S1	noon	N	A2	miel	no	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonNA2thon	invaded	S1	noon	N	A2	thon	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonNA3miel	invaded	S1	noon	N	A3	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonNA3thon	invaded	S1	noon	N	A3	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonNA4miel	invaded	S1	noon	N	A4	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonNA4thon	invaded	S1	noon	N	A4	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonNA5miel	invaded	S1	noon	N	A5	miel	no	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
S1noonNA5thon	invaded	S1	noon	N	A5	thon	no	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
S1noonNB1miel	invaded	S1	noon	N	B1	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonNB1thon	invaded	S1	noon	N	B1	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonNB2miel	invaded	S1	noon	N	B2	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonNB2thon	invaded	S1	noon	N	B2	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonNB3miel	invaded	S1	noon	N	B3	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonNB3thon	invaded	S1	noon	N	B3	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonNB4miel	invaded	S1	noon	N	B4	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonNB4thon	invaded	S1	noon	N	B4	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonNB5miel	invaded	S1	noon	N	B5	miel	no	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
S1noonNB5thon	invaded	S1	noon	N	B5	thon	no	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
S1noonEA1miel	invaded	S1	noon	E	A1	miel	no	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonEA1thon	invaded	S1	noon	E	A1	thon	no	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonEA2miel	invaded	S1	noon	E	A2	miel	no	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonEA2thon	invaded	S1	noon	E	A2	thon	no	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonEA3miel	invaded	S1	noon	E	A3	miel	no	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonEA3thon	invaded	S1	noon	E	A3	thon	no	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonEA4miel	invaded	S1	noon	E	A4	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonEA4thon	invaded	S1	noon	E	A4	thon	no	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
S1noonEA5miel	invaded	S1	noon	E	A5	miel	no	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
S1noonEA5thon	invaded	S1	noon	E	A5	thon	no	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonEB1miel	invaded	S1	noon	E	B1	miel	no	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonEB1thon	invaded	S1	noon	E	B1	thon	no	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonEB2miel	invaded	S1	noon	E	B2	miel	no	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonEB2thon	invaded	S1	noon	E	B2	thon	no	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonEB3miel	invaded	S1	noon	E	B3	miel	no	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
S1noonEB3thon	invaded	S1	noon	E	B3	thon	no	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
S1noonEB4miel	invaded	S1	noon	E	B4	miel	no	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
S1noonEB4thon	invaded	S1	noon	E	B4	thon	no	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
S1noonEB5miel	invaded	S1	noon	E	B5	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonEB5thon	invaded	S1	noon	E	B5	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSA1miel	invaded	S1	noon	S	A1	miel	no	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSA1thon	invaded	S1	noon	S	A1	thon	no	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSA2miel	invaded	S1	noon	S	A2	miel	no	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSA2thon	invaded	S1	noon	S	A2	thon	no	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSA3miel	invaded	S1	noon	S	A3	miel	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSA3thon	invaded	S1	noon	S	A3	thon	no	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSA4miel	invaded	S1	noon	S	A4	miel	no	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSA4thon	invaded	S1	noon	S	A4	thon	no	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSA5miel	invaded	S1	noon	S	A5	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSA5thon	invaded	S1	noon	S	A5	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSB1miel	invaded	S1	noon	S	B1	miel	no	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSB1thon	invaded	S1	noon	S	B1	thon	no	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSB2miel	invaded	S1	noon	S	B2	miel	no	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSB2thon	invaded	S1	noon	S	B2	thon	no	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSB3miel	invaded	S1	noon	S	B3	miel	no	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSB3thon	invaded	S1	noon	S	B3	thon	no	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSB4miel	invaded	S1	noon	S	B4	miel	no	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSB4thon	invaded	S1	noon	S	B4	thon	no	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSB5miel	invaded	S1	noon	S	B5	miel	no	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
S1noonSB5thon	invaded	S1	noon	S	B5	thon	no	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
S1noonWA1miel	invaded	S1	noon	W	A1	miel	no	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
S1noonWA1thon	invaded	S1	noon	W	A1	thon	no	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
S1noonWA2miel	invaded	S1	noon	W	A2	miel	no	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0
S1noonWA2thon	invaded	S1	noon	W	A2	thon	no	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0
S1noonWA3miel	invaded	S1	noon	W	A3	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonWA3thon	invaded	S1	noon	W	A3	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1noonWA4miel	invaded	S1	noon	W	A4	miel	no	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0
